Paper,Year
Angelier et al. (2013),2013
Apfelbeck et al. (2019),2019
Asghar et al. (2015),2015
Aydinonat et al. (2014),2014
Baerlocher et al. (2003),2003
Barrett et al. (2013),2013
Bauch et al. (2014),2014
Bauch et al. (2020),2020
Bauch et al. (2021),2021
Bauer et al. (2018),2018
Beirne et al. (2014),2014
Bize et al. (2009),2009
Brümmendorf et al. (2002),2002
Buddhachat et al. (2017),2017
Burraco et al. (2020),2020
Cerchiara et al. (2017),2017
Cherdsukjai et al. (2020),2020
Denham et al. (2019),2019
Fick et al. (2012),2012
Foley et al. (2018),2018
Froy et al. (2021),2021
Garde et al. (2010),2010
Hatase et al. (2008),2008
Haussmann et al. (2003),2003
Heidinger et al. (2012),2012
Horn et al. (2008),2008
Ineson et al. (2020),2020
Izzo (2010),2010
Izzo et al. (2011),2011
Juola et al. (2006),2006
Kärkkäinen et al. (2019),2019
Kärkkäinen et al. (2021),2021
Kirby et al. (2017),2017
Lee et al. (2002),2002
Leonida et al. (2020),2020
Lewin et al. (2015),2015
Lundsgaard et al. (2022),2022
McKevitt et al. (2002),2002
McKevitt et al. (2003),2003
Molbert et al. (2021),2021
Noguera & Velando (2021),2021
Olsen et al. (2014),2014
Panasiak et al. (2020),2020
Parolini et al. (2015),2015
Pauli et al. (2011),2011
Pauliny et al. (2006),2006
Pauliny et al. (2012),2012
Reichert et al. (2015),2015
Roast et al. (2022),2022
Salmón et al. (2016),2016
Salomons et al. (2009),2009
Sánchez-Montes et al. (2020),2020
Scott et al. (2006),2006
Seibt et al. (2019),2019
Simide et al. (2016),2016
Soler et al. (2015),2015
Stier et al. (2020),2020
Sudyka et al. (2014),2014
Tissier et al. (2022),2022
Tricola et al. (2018),2018
Ujvari & Madsen (2009),2009
Ujvari et al. (2017),2017
Vernasco et al. (2021),2021
Viblanc et al. (2022),2022
Voillemot et al. (2012),2012
Wilbourn et al. (2017),2017
Wong (2017),2017
