Author,Pubs
"Abkowitz, J.L.",1
"Saraux, C.",1
"Linskens, M.H.K.",1
"Moreno, J.",1
"Zahn, S.",4
"Dubiec, A.",1
"Nergadze, S.G.",1
"Bauch, C.",3
"Lank, D.B.",1
"Thitaram, C.",1
"Smith, S.",1
"Monaghan, P.",2
"Divoky, G.",1
"Moodley, Y.",1
"Figuerola, J.",1
"Treidel, L.A.",1
"Cramp, R.L.",1
"Mortega, K.G.",1
"GomezMestre, I.",1
"Korsten, P.",1
"Okanoya, K.",1
"Rojas, E.R.",1
"Isaksson, C.",1
"Buddhachat, K.",2
"ZamoraCamacho, F.J.",1
"Arct, A.",1
"Garde, E.",1
"Eimes, J.A.",1
"Bauer, C.M.",1
"Kerth, G.",1
"Tissier, M.L.",1
"Lejeune, M.",1
"Lansdorp, P.M.",2
"Roth, J.D.",1
"Winkler, D.W.",1
"Panasiak, L.",1
"Litwa, H.P.",1
"Larsson, K.",1
"Madsen, Thomas",1
"Smith, J.R.",1
"Moore, I.T.",1
"Madsen, T.",1
"Ruuskanen, S.",1
"Simons, M.J.P.",1
"Robbins, J.",1
"Cheynel, L.",1
"Metcalfe, N.B.",2
"Fick, L.J.",1
"Pauliny, A.",2
"Dorrens, J.",1
"Pilkington, J.G.",1
"Flinks, H.",1
"Rebelo, H.",1
"Farcy, O.",1
"Wallis, C.V.",1
"Helm, B.",1
"Peters, A.",1
"Blomqvist, D.",2
"Burraco, P.",1
"Ocalewicz, K.",1
"Majer, A.D.",1
"Sisson, Z.",1
"Ruiz Castellano, C.",1
"Delahay, R.",1
"Reguera, S.",1
"Comas, M.",1
"Young, A.",1
"R�ale, D.",1
"Soler, J.J.",1
"Fick, G.H.",1
"Vernasco, B.J.",1
"R�th, A.",1
"Reichert, S.",1
"Denham, M.M.",1
"Cicho?, M.",1
"Juola, F.A.",2
"Brandt Ryder, T.",1
"Holberton, R.L.",1
"Granadeiro, J.P.",1
"Brown, J. L.",1
"Hansson, B.",1
"Viblanc, V.A.",1
"Knauer, F.",1
"Jebb, D.",1
"Hughes, G.M.",1
"Thomson, R.L.",1
"Lundsgaard, N.U.",1
"Sz�p, T.",1
"Schoech, S.J.",1
"Saito, T.",1
"Burke, T.A.",1
"Khoriauli, L.",1
