,Bias,Cal.Bias,Z-Score
count,67.0,67.0,67.0
mean,0.023613276899086613,0.0040860971079282014,-2.1044525989163414e-16
std,0.016012549981772893,0.0020394461388837668,1.0075472768815943
min,0.0024875621890547,0.0024875621890547,-0.7897239715252574
25%,0.01368159203980095,0.0024875621890547,-0.7897239715252574
50%,0.0199004975124378,0.0033167495854063,-0.3800806437167321
75%,0.03109452736318405,0.0049751243781094,0.4392060119002684
max,0.1119402985074626,0.0124378109452736,4.125995962176895
