Paper,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16,Author_17,Author_18,Author_19,Author_20,Author_21,Author_22,Author_23,Author_24,Author_25,Author_26,Author_27,Author_28,Author_29,Author_30,Author_31,Author_32,Author_33,Author_34,Author_35,Author_36,Author_37
Anastasiadi et al. (2020),"Anastasiadi, D.","Piferrer, F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson et al. (2021),"Anderson, J.A.","Johnston, R.A.","Lea, A.J.","Campos, F.A.","Voyles, T.N.","Akinyi, M.Y.","Alberts, S.C.","Archie, E.A.","Tung, J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beal et al. (2019),"Beal, A.P.","Kiszka, J.J.","Wells, R.S.","Eirin-Lopez, J.M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bors et al. (2021),"Bors, E.K.","Baker, C.S.","Wade, P.R.","O'Neill, K.B.","Shelden, K.E.W.","Thompson, M.J.","Fei, Z.","Jarman, S.N.","Horvath, S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cossette et al. (2022),"Cossette, M.L.","Stewart, D.T.","Haghani, A.","Zoller, J.A.","Shafer, A.B.A.","Horvath, S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Paoli-Iseppi et al. (2019),"De Paoli-Iseppi, R.","Deagle, B.E.","Polanowski, A.M.","McMahon, C.R.","Dickinson, J.L.","Hindell, M.A.","Jarman, S.N.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guevara et al. (2020),"Guevara, E.","Lawler, R.","Staes, N.","White, C.M.","Sherwood, C.","Ely, J.","Hopkins, W.D.","Bradley, Brenda J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horvath et al. (2021a),"Horvath, S.","Zoller, J.A.","Haghani, A.","Jasinska, A.J.","Raj, K.","Breeze, C.E.","Ernst, J.","Vaughan, K.L.","Mattison, J.A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horvath et al. (2021b),"Horvath, S.","Zoller, J.A.","Haghani, A.","Lu, A.T.","Raj, K.","Jasinska, A.J.","Mattison, J.A.","Salmon, A.B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horvath et al. (2022a),"Horvath, S.","Haghani, A.","Macoretta, N.","Ablaeva, J.","Zoller, J.A.","Li, C.Z.","Zhang, J.","Takasugi, M.","Zhao, Y.","Rydkina, E.","Zhang, Z.","Emmrich, S.","Raj, K.","Seluanov, A.","Faulkes, C.G.","Gorbunova, V.",,,,,,,,,,,,,,,,,,,,,
