Author,Pubs
"Bryan, C.E.",1
"Bangma, J.T.",1
"Steinman, K.J.",3
"Ely, J.",1
"Li, X.",1
"Wilkinson, G.S.",1
"Sears, K.E.",2
"Kordowitzki, P.",1
"Espinoza, T.",1
"Gilot-Fromont, E.",1
"Lindemann, D.M.",1
"Ball, H.C.",1
"Wade, P.R.",1
"Gladyshev, V.N.",1
"Zoller, J.A.",21
"Dechmann, D.K.N.",1
"Lattenkamp, E.Z.",1
"Kaelin, C.B.",1
"Farrell, C.",1
"Prado, N.A.",1
"Lim, A.R.",1
"Gerashchenko, M.V.",1
"Rao, A.W.",1
"Nilsen, F.M.",1
"Bagryanova, L.R.",1
