,Bias,Cal.Bias,Z-Score
count,41.0,41.0,41.0
mean,0.12855570360929255,0.012362433303427423,-1.0831444142684454e-16
std,0.09891649443254207,0.009475550054942954,1.0124228365658292
min,0.004750593824228,0.002375296912114,-1.0670836939106043
25%,0.0213776722090261,0.0029691211401425,-1.0036360622822422
50%,0.1638954869358669,0.0114806017418844,-0.0942200089423766
75%,0.2185273159144893,0.0193678055910835,0.7484946880702344
max,0.2802850356294537,0.0302002035968781,1.90589104524695
